id;hash;time;size;miner;extra_data_hex;difficulty;gas_used;gas_limit;mix_hash;nonce;receipts_root;sha3_uncles;state_root;total_difficulty;transactions_root;uncle_count;transaction_count;synthetic_transaction_count;call_count;synthetic_call_count;value_total;value_total_usd;internal_value_total;internal_value_total_usd;generation;generation_usd;uncle_generation;uncle_generation_usd;fee_total;fee_total_usd;reward;reward_usd
2912427;a7954761e92dad77e14ba28ef00c89c2e8a4c5b91a73cf12232c9b5f07bedd21;1/01/2017 0:03;533;0x1e9939daaad6924ad004c2560e90804164900341;706f6f6c2e65746866616e732e6f7267;7,90E+13;0;4007810;186f7235265b538c5f99e67ab5c263b83e07cfa92691494f2407aebb35c62978;1,62E+19;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;39595b49edccbe85d6976cffb646b66fae4d42889d2024f86109a23649d0b4b0;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912428;10f4cb1f54119cecf8f964d45ad27eb5eb0e53a6ebd6e7154b43b1a8e4453c0d;1/01/2017 0:03;532;0x61c808d82a3ac53231750dadc13c777b59310bd9;e4b883e5bda9e7a59ee4bb99e9b1bc;7,91E+13;0;4003898;b413afe7859ccc8f562cab5556fa8a96591c9929e4f88f08728470cf93cadde0;5,35E+16;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;5389675b169712993b5e156b62b717a84ec2cc24ec284e60f69ee1bbad30b4d3;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912429;c1ff9cffa6e9f2e04452429d9ce2c0ad0b9bcbbe9d9f593b72c2850c9ca9648a;1/01/2017 0:04;527;0xc0ea08a2d404d3172d2add29a45be56da40e2949;7777772e62772e636f6d;7,91E+13;0;4000000;40a9c54e9309e94ee45f232d86577e1773a43280057a127d7504a64629f172c2;3,90E+18;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;ba785e449f265c6b09c2c4c33d57d4a831d821b26b180777afec6330a8b7bbc3;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912430;6b2fd67a25c4dd5e43d7a83b88d4cca7a45d74f61ac3c6a6f92868232fe1b5b7;1/01/2017 0:04;765;0xea674fdde714fd979de3edf0f56aa9716b898ec8;61736961312e65746865726d696e652e6f7267;7,91E+13;43945;4003905;78275971c1530eeec712acd8916aaef133f2191f193bcd904e9372e760a28d32;1,05E+19;6c9cd743bac7a460e0aadbfed49b779a7c067e6340908ff59284241ceab1bbcb;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;a9ff95e9b8862ae4c9e2a036e008b82aa5718cb4f274b9f742e348c56b25fba6;1,12E+20;be0486043d75084d42da1dcda7fdefa36fd3f0341369135ffe6a36ed1f2609f9;0;2;1;2;1;7,04E+18;566.561;7,04E+18;566.491;5,00E+18;402.241;0;0;8,79E+14;0.0071;5,00E+18;402.312
2912431;e6ae2b2a5d2f346208385d62e401cdcb48b0a846599188700cee633cae043510;1/01/2017 0:04;532;0x61c808d82a3ac53231750dadc13c777b59310bd9;e4b883e5bda9e7a59ee4bb99e9b1bc;7,90E+13;0;4000060;c9ae15ec2d7fe9db75439c453459dbe77f2520de0981fd9c4628c58bdd89bc5b;4,19E+18;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;fd339bea265368d88dfaf787c88fb9c4ea3e07caa8caa5f8a0b42ea3b877d22a;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912432;7048a266745eaa5df7876e2677b734d9699b8d66b070a0cb8eb83a9fdf425e7a;1/01/2017 0:04;527;0xc0ea08a2d404d3172d2add29a45be56da40e2949;7777772e62772e636f6d;7,91E+13;0;4000000;c07301651846e48d946cd41aaecdb7893654be471792d688b621323b5a949dde;1,85E+18;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;e7653822798b4a502d8c44c5ffc22e2a6defffc653103f115eef62e58e9ce795;1,12E+20;56e81f171bcc55a6ff8345e692c0f86e5b48e01b996cadc001622fb5e363b421;0;0;1;0;1;5,00E+18;402.241;5,00E+18;402.241;5,00E+18;402.241;0;0;0;0;5,00E+18;402.241
2912433;304297d41b26a31fe30b2e73032372210270a92ebcb62f861714d1d805f1c332;1/01/2017 0:05;3602;0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5;6e616e6f706f6f6c2e6f7267;7,90E+13;611577;4003905;2aeb52afa655ae61be8fd7608ab23032319ba3e6067468c586ee6e4966ddff99;1,52E+19;02d6230e9bc3457a710a00c3fb9861d58f3fcadb117886f67ac7a4f0c64c6e8a;e6bf2beddc810579e92c0da6d318de025f09868e3cb5d9ade4dff90bd5378984;df687e99a97cf111590f0485c0b71e31a546a24a5fb1b8baceb1d66a2d0003c6;1,12E+20;2e2a0c5abd862b01d8ee94a70d90ce1a1a35ea4b9c5a81be3a79c5f5777acbec;1;22;2;32;2;2,02E+20;16.219.734;2,52E+20;20.295.196;5,16E+18;414.811;3,13E+18;251.401;1,26E+16;0.1011;5,17E+18;415.823
2912434;5ec290084ef3870e75943700e9994595e0dde83730313501fb8b957436f8c6d0;1/01/2017 0:05;760;0xea674fdde714fd979de3edf0f56aa9716b898ec8;65746865726d696e65202d20555331;7,90E+13;43900;4000000;8c6aebaa52d30f47fa63a5438c310dbd8807b940cda53b6f9bb0ffe8c469c38f;6,99E+16;9595cb7962d8c00401bd53c533044078c7bf01c80f1dd431f115c6d691f5325e;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;4108c1b9328393a010ef2f34751abe267716ae7b5f6e85ab64ba91dcf020d585;1,12E+20;75d59526932a884745861e5783994aecd98d54dff8c35c2ddf4bb0781491c8a8;0;2;1;2;1;6,29E+18;506.251;6,29E+18;506.181;5,00E+18;402.241;0;0;8,78E+14;0.0071;5,00E+18;402.312
2912435;c454f425ed5766bfd8d3784b1e441e8a5bc174799d0dfdc19d3c98f6bb314059;1/01/2017 0:05;655;0x1e9939daaad6924ad004c2560e90804164900341;706f6f6c2e65746866616e732e6f726720284d4e3229;7,91E+13;21000;4000000;a56dcb9322cd7f3f9014c80ec26d349dfd851d5cd7be7e27aecbe2105be8cdcf;5,38E+18;6c2c063065a98a7bfc59b5090166fba014e1280a643b0f8700f85f452b933e10;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;b530aac3b9b860b1d198005c0a427ca5b068e523264340cf5226bcf142361faa;1,12E+20;fe997751ea716f7822df000693c01a12057af473299f8c8374d6f5b9d17b8f83;0;1;1;1;1;9,96E+18;801.196;9,96E+18;801.162;5,00E+18;402.241;0;0;4,20E+14;0.0034;5,00E+18;402.275
2912436;1f1c91887187630c01f441f1921b2bacf05cc689973ecc38060e426d41379340;1/01/2017 0:05;784;0x2a65aca4d5fc5b5c859090a6c34d164135398226;4477617266506f6f6c;7,91E+13;88809;4003905;72f92fa2202f6f05e307d2548291915e119c0e1562342fbc8196df952e420405;9,16E+18;fe29717b5037857317a79e27bfda94e9469b5717626dcfba59a29fd3375ed041;1dcc4de8dec75d7aab85b567b6ccd41ad312451b948a7413f0a142fd40d49347;14677c7704ad32a2e0292b734215881311140efda7800656acf774a4d1d306ab;1,12E+20;6bf200442983f55c2a2d0505aa72bf772419fd76ec8e07acef8238ac495332aa;0;2;1;2;1;6,00E+18;483.024;6,00E+18;482.881;5,00E+18;402.241;0;0;1,78E+15;0.0143;5,00E+18;402.384
